Date,Name,Email,Mobile,MovieID,Day,Hour,"STA Qty","STP Qty","STC Qty","FCA Qty","FCP Qty","FCC Qty",Total
"18/05 08:09","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:11","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:12","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:13","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:20","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:20","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:20","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,3,3,5,2,3,6,$376.00
"18/05 08:21","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:29","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:31","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:32","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:37",$0.00
"18/05 08:38","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:39","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:40","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:40","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:41","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:41","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:42","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:42","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:43","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:43","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:43","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:45","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:46","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,WED,T21,2,3,1,0,0,0,$76.50
"18/05 08:48","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,THU,T21,3,1,1,0,0,0,$92.20
"18/05 08:49","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,THU,T21,3,1,1,0,0,0,$92.20
"18/05 08:49","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,THU,T21,3,1,1,0,0,0,$92.20
"18/05 08:51","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,THU,T21,3,1,1,0,0,0,$92.20
"18/05 08:53","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,THU,T21,3,1,1,0,0,0,$92.20
"18/05 08:58","nguyen quoc huy",s3818764@rmit.edu.vn,"041234567 8",ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 08:59","nguyen quoc huy",s3818764@rmit.edu.vn,"041234567 8",ACT,WED,T21,1,0,0,0,0,0,$14.00
"18/05 09:51","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,FRI,T21,2,0,0,0,0,0,$39.60
"18/05 09:52","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,FRI,T21,2,0,0,0,0,0,$39.60
"18/05 10:06","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,FRI,T21,2,0,0,0,0,0,$39.60
"18/05 10:08","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,ACT,FRI,T21,2,0,0,0,0,0,$39.60
"18/05 10:17","nguyen quoc huy",s3818764@rmit.edu.vn,"041234567 8",ANM,MON,T12,2,0,0,0,0,0,$0.00
"18/05 10:19","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:20","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:24","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:25","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:25","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:27","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:27","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:28","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:29","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:29","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
"18/05 10:30","nguyen quoc huy",s3818764@rmit.edu.vn,0412345678,RMC,SAT,T15,1,3,4,1,4,4,$367.50
